timestamp,gpu0_util_pct,gpu0_mem_mb,gpu0_power_w,gpu1_util_pct,gpu1_mem_mb,gpu1_power_w,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_gb,mem_available_gb,mem_buff_cache_gb,train_epoch,train_step,train_loss,train_lr,epoch_progress_pct
2026-03-24 16:11:15,0,0,82.72,0,0,82.55,2.58,1.91,0.94,10,492,424,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:11:30,0,0,83.11,0,0,83.22,2.61,1.95,0.96,11,492,424,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:11:43,0,0,83.09,0,0,83.24,2.36,1.92,0.96,11,492,425,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:11:56,0,0,83.05,0,0,83.30,2.54,1.97,1.00,11,492,425,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:12:09,0,0,83.18,0,0,83.34,2.30,1.94,1.00,11,492,425,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:12:22,0,0,81.90,0,0,83.47,2.41,1.97,1.03,11,492,425,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:12:36,0,0,82.97,0,0,83.38,2.42,1.99,1.05,11,492,425,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:12:49,0,0,81.84,0,0,83.59,2.20,1.96,1.05,11,492,425,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:13:03,0,0,81.99,0,0,84.34,2.00,1.93,1.05,11,492,425,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:13:16,0,0,81.89,0,0,83.61,2.34,2.00,1.09,11,492,425,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:13:29,0,0,81.86,0,0,83.50,2.13,1.97,1.09,11,492,425,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:13:42,0,0,81.67,0,0,83.51,2.20,1.98,1.11,11,492,425,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:13:55,0,0,81.98,0,0,84.77,2.08,1.97,1.12,11,492,425,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:14:08,0,0,81.91,0,0,83.52,1.92,1.94,1.11,11,492,425,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:14:21,0,0,81.86,0,0,83.57,2.03,1.96,1.13,11,492,425,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:14:34,0,0,81.84,0,0,83.51,1.87,1.93,1.13,11,491,425,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:14:46,0,0,77.96,0,0,83.26,1.74,1.89,1.13,13,489,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:14:56,0,433,81.82,0,3,21.94,1.62,1.87,1.13,13,489,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:15:06,0,433,82.06,0,3,21.46,1.53,1.84,1.12,13,489,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:15:16,0,433,81.94,0,3,21.94,1.52,1.83,1.13,14,489,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:15:27,0,433,82.30,0,3,21.09,1.44,1.80,1.13,14,489,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:15:37,0,433,82.31,0,3,21.33,1.37,1.77,1.12,14,489,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:15:47,0,433,82.31,0,3,21.16,1.31,1.74,1.12,14,489,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:15:57,0,583,80.12,0,583,82.22,1.35,1.74,1.13,16,486,427,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:16:07,0,1985,80.24,0,1985,82.46,1.45,1.75,1.14,18,485,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:16:17,0,1985,80.24,0,1985,82.58,8.52,3.29,1.65,18,485,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:16:28,0,1985,79.99,0,1985,82.83,12.59,4.34,2.01,18,484,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:16:38,0,1985,80.24,0,1985,82.95,15.95,5.33,2.36,19,484,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:16:49,0,1985,80.36,0,1985,83.04,18.65,6.26,2.69,20,482,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:16:59,0,1985,80.24,0,1985,83.41,20.78,7.12,3.01,20,482,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:17:10,0,1985,80.24,0,1985,83.29,22.58,7.96,3.33,21,481,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:17:20,0,1985,80.24,0,1985,83.55,24.10,8.77,3.64,22,480,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:17:31,0,1985,80.24,0,1985,83.29,25.93,9.67,3.99,22,480,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:17:41,0,1985,80.48,0,1985,81.49,27.09,10.45,4.31,22,480,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:17:52,0,1985,80.24,0,1985,81.74,27.92,11.18,4.61,23,480,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:18:02,0,1985,80.33,0,1985,81.74,29.05,12.25,5.06,23,479,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
2026-03-24 16:18:13,0,1985,80.24,0,1985,81.86,29.51,12.90,5.35,24,479,426,0,1099,0.01595403254032135,0.0004094334726687521,35.2
