epoch,step,train/loss,train/lr,train/tau
0,49,0.11657798290252686,0.0004711538495030254,0.9900546669960022
0,99,0.13822400569915771,0.0009519230807200074,0.9902219176292419
0,149,0.1516217440366745,0.0009943076875060797,0.9904979467391968
0,199,0.14166367053985596,0.0009747970034368336,0.9908764958381653
1,249,0.08141446113586426,0.0009419456473551691,0.9913489818572998
1,299,0.12800413370132446,0.0008966766763478518,0.9919045567512512
1,349,0.1301143765449524,0.0008402621024288237,0.9925305843353271
1,399,0.13352319598197937,0.0007742869202047586,0.993212878704071
