epoch,step,train/loss,train/lr,train/tau
0,49,0.11657798290252686,0.0004711538495030254,0.9900546669960022
0,99,0.13822400569915771,0.0009519230807200074,0.9902219176292419
0,149,0.1516217440366745,0.0009943076875060797,0.9904979467391968
0,199,0.14166367053985596,0.0009747970034368336,0.9908764958381653
1,249,0.08141446113586426,0.0009419456473551691,0.9913489818572998
1,299,0.12800413370132446,0.0008966766763478518,0.9919045567512512
1,349,0.1301143765449524,0.0008402621024288237,0.9925305843353271
1,399,0.13352319598197937,0.0007742869202047586,0.993212878704071
2,449,0.12576675415039062,0.0007006050436757505,0.9939358234405518
2,499,0.0676608681678772,0.0006212865700945258,0.994683027267456
2,549,0.06092924252152443,0.0005385603290051222,0.9954374432563782
2,599,0.042836256325244904,0.00045475055230781436,0.9961819052696228
3,649,0.047827236354351044,0.00037221223465166986,0.996899425983429
3,699,0.030268389731645584,0.0002932643983513117,0.997573733329773
3,749,0.032440099865198135,0.0002201253519160673,0.9981894493103027
3,799,0.045343026518821716,0.00015485008771065623,0.9987325072288513
4,849,0.030679976567626,9.927270730258897e-05,0.999190628528595
